Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5628024,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,97,
5628046,00000280,false,Rx,0,8,01,74,00,00,74,00,2C,00,
5628147,00000488,false,Rx,0,8,19,00,00,7F,A6,00,00,C0,
5631963,00000588,false,Rx,0,8,E9,03,7F,00,63,00,00,00,
5632402,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
5633791,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,98,
5634069,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5634245,000005A0,false,Rx,0,8,64,01,00,AC,34,00,00,30,
5637980,00000288,false,Rx,0,8,DE,52,00,00,00,56,00,00,
5638231,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5640681,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,99,
5641996,00000480,false,Rx,0,8,ED,22,00,00,19,06,00,D0,
5642246,00000050,false,Rx,0,4,00,01,00,01,00,00,00,00,
5648007,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9A,
5648031,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
5648212,00000488,false,Rx,0,8,09,00,00,7F,A6,00,00,D0,
5648458,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5648712,000005A0,false,Rx,0,8,64,01,00,5A,42,00,00,30,
5651920,00000588,false,Rx,0,8,E9,03,7F,00,63,00,00,00,
5654752,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9B,
5657029,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
5657509,00000420,false,Rx,0,8,06,78,78,43,00,00,FF,00,
5657939,00000288,false,Rx,0,8,DE,52,00,00,00,56,00,00,
5658242,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5661760,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9C,
5662013,00000480,false,Rx,0,8,ED,22,00,00,19,06,00,D0,
5662262,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5662437,00000050,false,Rx,0,4,00,01,10,11,00,00,00,00,
5662615,000005A0,false,Rx,0,8,64,01,00,08,50,00,00,30,
5668095,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
5668230,00000488,false,Rx,0,8,C6,00,00,80,A6,00,00,E0,
5668859,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9D,
5671997,00000588,false,Rx,0,8,E9,03,80,00,63,00,00,00,
5675662,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9E,
5675983,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5676165,000005A0,false,Rx,0,8,64,01,00,B6,5D,00,00,30,
5677936,00000288,false,Rx,0,8,DE,52,00,00,00,56,00,00,
5678190,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5681778,00000570,false,Rx,0,4,07,00,DE,00,00,00,00,00,
5682026,00000480,false,Rx,0,8,ED,22,00,00,19,06,00,D0,
5682278,00000050,false,Rx,0,4,00,01,20,21,00,00,00,00,
5682757,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9F,
5683161,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
5688088,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
5688206,00000488,false,Rx,0,8,29,00,00,7F,A6,00,00,F0,
5689848,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
5690133,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5690309,000005A0,false,Rx,0,8,64,01,00,64,6B,00,00,30,
5691922,00000588,false,Rx,0,8,E9,03,7F,00,63,00,00,00,
5696723,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
5697960,00000288,false,Rx,0,8,0C,52,00,00,00,56,00,00,
5698214,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5701957,00000480,false,Rx,0,8,19,22,00,00,19,06,00,24,
5702287,00000050,false,Rx,0,4,00,01,30,31,00,00,00,00,
5703833,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
5704088,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5704264,000005A0,false,Rx,0,8,64,01,00,12,79,00,00,30,
5708123,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
5708147,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
5708328,00000488,false,Rx,0,8,D9,00,00,7F,A6,00,00,00,
